Reference,Value,Qty,DNP,#,Part Number
D6,US2AA,1,,1,US2AA
U3,UCC5304DWVR,1,,2,UCC5304DWVR
U4,TMV 0512SHI,1,,3,TMV 0512SHI
"C2,C6,C7,C8",1u,4,,4,TAJR105K025RNJ
D1,SS310,1,,5,SS310
"R5,R13",1k,2,,6,RNCP0805FTD1K00
R6,300,1,,7,RMCF0805JT300R
"R7,R8",120,2,,8,RMCF0805FT120R
R12,50,1,,9,RCP1206W50R0JTP
R9,51,1,,10,RC1206FR-0751RL
R11,12,1,,11,RC0805FR-0712RL
"R2,R3",2k,2,,12,RC0805FR-072KL
"D2,D3,D4,D5,D7",LTST-C190GKT,5,,13,LTST-C190GKT
U1,LM358,1,,14,LM358DGKR
U2,LAUNCHXL-F28379D,1,,15,LAUNCHXL-F28379D
Q1,IRF540N,1,,16,IRF540NPBF
C12,10u,1,,17,GRM21BR61E106KA73L
C4,1u,1,,18,GRM21BC72A105KE01L
C10,10u,1,,19,F951C106MPAAQ2
R10,7.5,1,,20,CRCW08057R50FKEAHP
"R1,R4",40k,2,,21,CRCW080540K0FKEA
C11,220n,1,,22,C0805C224K5RACTU
C1,1.2u,1,,23,C0805C125K4PACTU
C9,33pF,1,,24,C0603C330J5GACTU
"J1,J2,J3,J4,J5",Conn_01x01_Pin,5,,25,BU-P72930-2
"L1,L2",12m,2,,26,1140-123K-RC
C3,470u,1,,27,100ZLH470MEFC16X31.5
C5,3.3u,1,,28,860020772007
Heat Sink,,1,,29,577202B00000G
Mounting Kit,,1,,30,4880G
MUC Conn,,4,,31,TSW-110-07-F-D